Timestamp,Pelvis_extension,Pelvis_lateral_flexion_rotation,Pelvis_axial_rotation,LeftHip_flexion,LeftHip_adduction,LeftHip_external_rotation,LeftKnee_flexion,LeftKnee_adduction,LeftKnee_external_rotation,LeftAnkle_dorsiflexion,LeftAnkle_inversion,LeftAnkle_internal_rotation,RightHip_flexion,RightHip_adduction,RightHip_external_rotation,RightKnee_flexion,RightKnee_adduction,RightKnee_external_rotation,RightAnkle_dorsiflexion,RightAnkle_inversion,RightAnkle_internal_rotation,Thorax_extension,Thorax_lateral_flexion_rotation,Thorax_axial_rotation,LeftScapula_protraction,LeftScapula_medial_rotation,LeftScapula_posterior_tilt,LeftShoulder_flexion,LeftShoulder_abduction,LeftShoulder_external_rotation,LeftElbow_flexion,LeftElbow_abduction,LeftElbow_pronation,LeftWrist_flexion,LeftWrist_abduction,LeftWrist_pronation,Neck_flexion,Neck_left-ward_tilt,Neck_right-ward_rotation,RightScapula_protraction,RightScapula_medial_rotation,RightScapula_posterior_tilt,RightShoulder_flexion,RightShoulder_abduction,RightShoulder_external_rotation,RightElbow_flexion,RightElbow_abduction,RightElbow_pronation,RightWrist_flexion,RightWrist_abduction,RightWrist_pronation
400,-12.26395,-0.2816429,1.733365,11.24304,-1.562112,2.461561,-5.759051,-0.0001639245,0,7.665724,-1.045279,-26.25369,8.707571,1.977579,1.028696,0,-0.0002800378,0,1.650312,-4.323318,-14.23374,3.035962,-0.9132987,1.488063,-13.57642,-3.132024,16.68129,-4.84521,-3.224826,4.132449,4.420048,-2.524295,-0.1356209,-2.088254,-17.82443,-2.46839,0.2462884,0.3688507,8.148013,23.31281,-3.720937,-8.173538,-3.883478,-0.7813459,4.467374,3.711618,-2.818177,1.775529,8.49662,-15.59458,0.6385778
410,-12.26783,-0.2876534,1.778613,11.26066,-1.544886,2.502333,-5.813959,-0.0001639245,0,7.695415,-1.067436,-26.26275,8.706826,1.963543,0.9725708,0,-0.000286868,0,1.66307,-4.316536,-14.22105,3.0368,-0.9089821,1.516719,-13.5579,-3.116561,16.70501,-4.944824,-3.165515,4.245721,4.049317,-2.256469,-0.1412742,-1.74574,-17.41056,-2.453995,0.199792,0.3897101,8.143915,23.31951,-3.721961,-8.171689,-3.902291,-0.7755645,4.488609,3.675782,-2.791341,1.806886,8.505699,-15.56102,0.6342734
420,-12.2703,-0.2917447,1.796023,11.26584,-1.538971,2.519482,-5.832102,-0.0001639245,0,7.705789,-1.075707,-26.26768,8.706578,1.958844,0.9489449,0,-0.0003005283,0,1.669647,-4.312664,-14.21475,3.038411,-0.907056,1.524569,-13.55098,-3.109621,16.7162,-5.020203,-3.121862,4.336514,3.892142,-2.142193,-0.1845175,-1.559845,-17.19157,-2.442804,0.1582588,0.4029334,8.135281,23.32114,-3.724188,-8.171161,-3.914917,-0.7717707,4.499838,3.663831,-2.781465,1.828527,8.481676,-15.54829,0.6311808
430,-12.27334,-0.2951052,1.810133,11.27491,-1.533125,2.532578,-5.856886,-0.0001844151,0,7.719047,-1.084163,-26.27176,8.714403,1.954288,0.9283059,0,-0.0002936981,0,1.68435,-4.314569,-14.20813,3.040923,-0.9049181,1.528415,-13.54611,-3.102531,16.72886,-5.072963,-3.088891,4.402733,3.71868,-2.02328,-0.2036718,-1.347265,-16.98113,-2.429708,0.09891172,0.4174953,8.122311,23.31998,-3.724707,-8.170943,-3.928897,-0.7671934,4.517098,3.655002,-2.773713,1.847056,8.405343,-15.53121,0.6258884
440,-12.27689,-0.2954193,1.821342,11.29494,-1.524389,2.542374,-5.90299,-0.0001707547,0,7.741669,-1.098957,-26.2746,8.705495,1.94687,0.9087062,0,-0.000286868,0.02797646,1.687716,-4.307145,-14.20025,3.044204,-0.9017899,1.528543,-13.54106,-3.094759,16.74312,-5.12824,-3.052937,4.47068,3.552036,-1.911101,-0.2255535,-1.139523,-16.78028,-2.418485,0.03426402,0.4270781,8.108255,23.31754,-3.724796,-8.171087,-3.943275,-0.7636142,4.541386,3.647012,-2.765783,1.854458,8.376088,-15.50965,0.6214961
450,-12.27981,-0.2942104,1.827563,11.31856,-1.514342,2.550138,-5.957431,-0.0001570944,0,7.767763,-1.116927,-26.28127,8.727489,1.938783,0.8908735,-0.04423466,-0.0002800378,0,1.720446,-4.316243,-14.18825,3.047546,-0.8988597,1.525596,-13.53409,-3.088072,16.75574,-5.184704,-3.01675,4.539665,3.395402,-1.806107,-0.2462884,-0.9295698,-16.64655,-2.416623,-0.03956468,0.430138,8.093787,23.31389,-3.726305,-8.172217,-3.962349,-0.758472,4.587633,3.643896,-2.757771,1.834937,8.393022,-15.49461,0.6196041
470,-12.28283,-0.2923799,1.830238,11.34312,-1.503693,2.559026,-6.014119,-0.0001707547,0,7.794349,-1.136591,-26.2926,8.699875,1.929474,0.8773727,0,-0.000286868,0,1.713265,-4.299747,-14.17651,3.049537,-0.8946728,1.518524,-13.52889,-3.080251,16.76712,-5.240376,-2.97835,4.608533,3.247874,-1.708954,-0.2676108,-0.6161205,-16.33239,-2.367033,-0.1083524,0.4251793,8.081722,23.30787,-3.723635,-8.171689,-3.973305,-0.7571809,4.618369,3.639756,-2.751289,1.830987,8.302931,-15.45952,0.5931431
480,-12.28986,-0.2882272,1.824777,11.39205,-1.483223,2.575039,-6.123495,-0.0001980755,0,7.845503,-1.17482,-26.32376,8.717355,1.912842,0.8566085,-0.03956468,-0.0002800378,0,1.763807,-4.303197,-14.15258,3.048124,-0.889154,1.498677,-13.51663,-3.071755,16.78723,-5.345588,-2.904073,4.751155,3.069054,-1.5939,-0.343781,-0.2332305,-16.1275,-2.348021,-0.2211734,0.3968135,8.065139,23.30324,-3.710412,-8.16645,-3.989585,-0.7488656,4.683044,3.640778,-2.749745,1.806236,8.520809,-15.5035,0.6240098
490,-12.29409,-0.2867518,1.817793,11.41064,-1.47513,2.577014,-6.163129,-0.0001980755,0,7.864394,-1.191083,-26.33852,8.690184,1.905534,0.8481144,0,-0.000286868,0,1.759919,-4.28608,-14.13817,3.045297,-0.8879656,1.48964,-13.50727,-3.071031,16.79655,-5.393868,-2.867169,4.830132,2.946698,-1.518904,-0.3732531,0.06852804,-15.99179,-2.325237,-0.2571706,0.3730035,8.057979,23.30746,-3.701765,-8.165247,-3.99552,-0.7423044,4.701752,3.643359,-2.748584,1.798636,8.881971,-15.58701,0.6567059
510,-12.29781,-0.2848326,1.810133,11.4265,-1.467446,2.575419,-6.197484,-0.0001707547,0,7.881099,-1.204791,-26.34976,8.711742,1.89895,0.8360308,-0.04845664,-0.0002800378,0,1.797003,-4.295117,-14.12054,3.042532,-0.8882866,1.479094,-13.49594,-3.068852,16.80469,-5.441145,-2.833449,4.909103,2.834347,-1.449633,-0.403483,0.3544303,-15.87005,-2.309273,-0.2818553,0.3489885,8.052836,23.31322,-3.693671,-8.165055,-4.001055,-0.7322189,4.709812,3.646904,-2.746324,1.790566,9.053365,-15.63548,0.6821364
